stock_level_id,serial_number,product,company,notes
16355,A102,IDX EB-4 12v,Nishio Rent All,
16329,A100290495A,IDX DUO-C198,Nishio Rent All,
16327,A100290496A,IDX DUO-C198,Nishio Rent All,
16321,A100290497A,IDX DUO-C198,Nishio Rent All,
16317,A100290498A,IDX DUO-C198,Nishio Rent All,
16334,A100290499A,IDX DUO-C198,Nishio Rent All,
16336,A100290500A,IDX DUO-C198,Nishio Rent All,
16333,A100290501A,IDX DUO-C198,Nishio Rent All,
16335,A100290502A,IDX DUO-C198,Nishio Rent All,
16319,A100290503A,IDX DUO-C198,Nishio Rent All,
16331,A100290504A,IDX DUO-C198,Nishio Rent All,
16330,A100290505A,IDX DUO-C198,Nishio Rent All,
16328,A100290506A,IDX DUO-C198,Nishio Rent All,
16325,A100290507A,IDX DUO-C198,Nishio Rent All,
16326,A100290508A,IDX DUO-C198,Nishio Rent All,
16332,A100290509A,IDX DUO-C198,Nishio Rent All,
16318,A100290510A,IDX DUO-C198,Nishio Rent All,
16320,A100290511A,IDX DUO-C198,Nishio Rent All,
16322,A100290512A,IDX DUO-C198,Nishio Rent All,
16324,A100290513A,IDX DUO-C198,Nishio Rent All,
16323,A100290514A,IDX DUO-C198,Nishio Rent All,
19538,N00001,IDX DUO-C198,Nishio Rent All,
19546,N00002,IDX DUO-C198,Nishio Rent All,
19539,N00003,IDX DUO-C198,Nishio Rent All,
19540,N00004,IDX DUO-C198,Nishio Rent All,
19541,N00005,IDX DUO-C198,Nishio Rent All,
19537,N00006,IDX DUO-C198,Nishio Rent All,
19542,N00007,IDX DUO-C198,Nishio Rent All,
19543,N00008,IDX DUO-C198,Nishio Rent All,
19544,N00009,IDX DUO-C198,Nishio Rent All,
19545,N00010,IDX DUO-C198,Nishio Rent All,
19561,N00011,IDX DUO-C198,Nishio Rent All,
19547,N00012,IDX DUO-C198,Nishio Rent All,
19549,N00013,IDX DUO-C198,Nishio Rent All,
19550,N00014,IDX DUO-C198,Nishio Rent All,
19551,N00015,IDX DUO-C198,Nishio Rent All,
16351,A100398717A,IDX DUO-98,Nishio Rent All,
16352,A100398718A,IDX DUO-98,Nishio Rent All,
16354,A100398719A,IDX DUO-98,Nishio Rent All,
16348,A100398720A,IDX DUO-98,Nishio Rent All,
16346,A100398721A,IDX DUO-98,Nishio Rent All,
16350,A100398722A,IDX DUO-98,Nishio Rent All,
16347,A100398723A,IDX DUO-98,Nishio Rent All,
16349,A100398724A,IDX DUO-98,Nishio Rent All,
16345,A100398725A,IDX DUO-98,Nishio Rent All,
16353,A100398726A,IDX DUO-98,Nishio Rent All,
19535,A100325118A,IDX CUE-D300,Nishio Rent All,
19534,A100325119A,IDX CUE-D300,Nishio Rent All,
19533,A100325120A,IDX CUE-D300,Nishio Rent All,
19536,A100325122A,IDX CUE-D300,Nishio Rent All,
19532,A100344591A,IDX CUE-D300,Nishio Rent All,
